Object	Cont_Flag	RAJ2000	DEJ2000	X	Y	Label_Flag	Info
line	+	194.49838559313434	22.76577996256977	0.0	0.0	false	
line	+	194.4983710879188	22.765788878969303	0.0	0.0	false	
line	+	194.4983590001567	22.76580002457901	0.0	0.0	false	
line	+	194.4983469124415	22.765808941021152	0.0	0.0	false	
line	+	194.49833240726934	22.76581562825053	0.0	0.0	false	
line	+	194.49832273700625	22.765826773902702	0.0	0.0	false	
line	+	194.49831306674156	22.7658379195543	0.0	0.0	false	
line	+	194.4983058139307	22.765851294417608	0.0	0.0	false	
line	+	194.4983009786236	22.765864669326287	0.0	0.0	false	
line	+	194.49829130835445	22.765875814976575	0.0	0.0	false	
line	+	194.49828405553944	22.765889189838898	0.0	0.0	false	
line	+	194.49827922022885	22.765902564746927	0.0	0.0	false	
line	+	194.49827438486733	22.76591816882147	0.0	0.0	false	
line	+	194.4982743845175	22.765933772988117	0.0	0.0	false	
line	+	194.49827438416762	22.765949377154758	0.0	0.0	false	
line	+	194.4982695488039	22.76596498122916	0.0	0.0	false	
line	+	194.49826229598202	22.765978356090496	0.0	0.0	false	
line	+	194.49825504315874	22.765991730951512	0.0	0.0	false	
line	+	194.49825262534932	22.766005105905094	0.0	0.0	false	
line	+	194.49825262499698	22.766020710071746	0.0	0.0	false	
line	+	194.4982453721705	22.766034084932315	0.0	0.0	false	
line	+	194.49824537181732	22.766049689098956	0.0	0.0	false	
line	+	194.49824295400592	22.766063064052403	0.0	0.0	false	
line	+	194.49824053604246	22.766083126505794	0.0	0.0	false	
line	+	194.49824053568872	22.766098730672436	0.0	0.0	false	
line	+	194.498240535335	22.76611433483908	0.0	0.0	false	
line	+	194.49824053498125	22.766129939005726	0.0	0.0	false	
line	+	194.49824536964778	22.766145543265484	0.0	0.0	false	
line	+	194.49824778685542	22.766158918311973	0.0	0.0	false	
line	+	194.49825262157415	22.766172293404853	0.0	0.0	false	
line	+	194.4982574562938	22.766185668497588	0.0	0.0	false	
line	+	194.49826954364778	22.766194585395493	0.0	0.0	false	
line	+	194.49827437807002	22.766221335487703	0.0	0.0	false	
line	+	194.4982816302554	22.766236939792446	0.0	0.0	false	
line	+	194.49829371751616	22.766250315021857	0.0	0.0	false	
line	+	194.4982985522426	22.76626369011335	0.0	0.0	false	
line	+	194.498300969408	22.76627929432571	0.0	0.0	false	
line	+	194.49830096906118	22.76629489849235	0.0	0.0	false	
line	+	194.49830822130295	22.766308273629225	0.0	0.0	false	
line	+	194.4983178910101	22.76632387797789	0.0	0.0	false	
line	+	194.498320308228	22.766337253023288	0.0	0.0	false	
line	+	194.49832514296014	22.766350628113983	0.0	0.0	false	
line	+	194.49833481272123	22.766364003294964	0.0	0.0	false	
line	+	194.49834690009604	22.766372920187045	0.0	0.0	false	
line	+	194.49835415234642	22.76638629532185	0.0	0.0	false	
line	+	194.49836865723904	22.766395212257162	0.0	0.0	false	
line	+	194.49838557984089	22.76639521256895	0.0	0.0	false	
line	+	194.49840008488027	22.766397442001427	0.0	0.0	false	
line	+	194.49841458977707	22.766406358932596	0.0	0.0	false	
